1;Centre d'AVON;12;Rue Georges Clémenceau;Avon;77210;01 60 72 85 91;ad77.avon@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Avon.;Aide alimentaire;false
2;Centre d'ECUELLES;31;Rue de l’Orvanne;Moret-Loing-et-Orvanne;77250;01 64 31 16 42;ad77.ecuelles@restosducoeur.org;OPEN;Centre des Restos du Cœur desservant le secteur de Moret-Loing-et-Orvanne.;Aide alimentaire;false
3;Centre d'ESBLY;2;Rue Louis Braille;Esbly;77450;01 60 04 52 27;ad77.esbly@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Esbly.;Aide alimentaire;false
4;Centre d'OZOIR-LA-FERRIERE;43;Avenue du Général de Gaulle;Ozoir-la-Ferrière;77330;09 74 30 09 15;ad77.ozoir@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Ozoir-la-Ferrière.;Aide alimentaire, accès à la culture;false
5;Centre de BRAY-SUR-SEINE;;Rue de la Fontaine;Bray-sur-Seine;77480;01 64 00 44 59;ad77.bray@restosducoeur.org;OPEN;Centre des Restos du Cœur desservant le secteur de Bray-sur-Seine.;Aide alimentaire;false
6;Centre de BRIE-COMTE-ROBERT;50;Rue des Ecoles;Brie-Comte-Robert;77170;01 64 05 43 58;ad77.brie@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Brie-Comte-Robert.;Aide alimentaire, accès à la culture;false
7;Centre de CHAMPAGNE-SUR-SEINE;1;Place de l’Hotel de Ville;Champagne-sur-Seine;77430;01 64 22 30 89;ad77.champagne@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Champagne-sur-Seine.;Aide alimentaire, ateliers de français;true
8;Centre de CHAMPS-SUR-MARNE FRÈRES LUMIÈRE;5;Boulevard Descartes;Champs-sur-Marne;77420;06 62 98 45 50;ad77.eiffel-etudiant-champs@restosducoeur.org;OPEN;Centre destiné notamment aux étudiants situé à Champs-sur-Marne.;Aide alimentaire;false
9;Centre de CHAMPS-SUR-MARNE;1;Allée des Noyers;Champs-sur-Marne;77420;09 74 30 12 77;ad77.champs@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Champs-sur-Marne.;Aide alimentaire;false
10;Centre de COMBS-LA-VILLE;8;Rue de Lieusaint;Combs-la-Ville;77380;09 82 26 22 37;ad77.combs@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Combs-la-Ville.;Aide alimentaire;false
11;Centre de COULOMMIERS;;Allée des Peupliers;Coulommiers;77120;01 64 20 74 27;ad77.coulommiers@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Coulommiers.;Aide alimentaire, emploi;false
12;Centre de DAMMARIE-LES-LYS;493;Avenue du Maréchal Foch;Dammarie-les-Lys;77190;01 64 37 59 85;ad77.dammarie@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Dammarie-les-Lys.;Aide alimentaire, accès à la culture;false
13;Centre de FONTAINEBLEAU ETUDIANTS;3;Rue des Rouges Gorges;Fontainebleau;77300;09 74 30 49 51;ad77.fontainebleau-edtudiants@restosducoeur.org;OPEN;Centre destiné aux étudiants situé à Fontainebleau.;Aide alimentaire;false
14;Centre de LA FERTE SOUS JOUARRE;15;Avenue de Montmirail;La Ferté-sous-Jouarre;77260;09 74 30 13 56;ad77.laferte@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à La Ferté-sous-Jouarre.;Aide alimentaire;true
15;Centre de LAGNY-SUR-MARNE;65;Avenue Raymond Poincaré;Lagny-sur-Marne;77400;01 64 02 87 69;ad77.lagny@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Lagny-sur-Marne.;Aide alimentaire;false
16;Centre de LE-MEE-SUR-SEINE;13;Avenue de la Gare;Le Mée-sur-Seine;77350;09 74 30 18 06;ad77.lemee@restosducoeur.org;OPEN;Centre des Restos du Cœur situé au Mée-sur-Seine.;Aide alimentaire, emploi, accès à la culture;false
17;Centre de LIZY-SUR-OURCQ;;Rue de l’Eglise;Lizy-sur-Ourcq;77440;09 62 11 15 30;ad77.lizy@restosducoeur.org;TEMPORARY_CLOSE;Centre des Restos du Cœur situé à Lizy-sur-Ourcq.;Aide alimentaire, accès à la culture;true
18;Centre de MEAUX;1;Rue Chappe;Meaux;77100;09 64 29 07 98;ad77.meaux@restosdusoeur.org;OPEN;Centre des Restos du Cœur situé à Meaux.;Aide alimentaire, accès à la culture;false
19;Centre de MELUN-ALMONT;12;Rue d'Estienne d'Orves;Melun;77000;01 64 64 09 31;ad77.melunliesne@restosducoeur.org;OPEN;Centre des Restos du Cœur du quartier de l'Almont à Melun.;Aide alimentaire, accès à la culture;false
20;Centre de MELUN-LAVOISIER;36;Rue Lavoisier;Melun;77000;01 64 38 95 27;ad77.melunlavoisier@restosducoeur.org;OPEN;Centre des Restos du Cœur situé à Melun.;Aide alimentaire;true
21;Centre de MOISSY-CRAMAYEL;178;Rue des Marronniers;Moissy-Cramayel;77550;01 64 88 78 81;ad77.moissy@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Moissy-Cramayel.;Aide alimentaire, accès à la culture;true
22;Centre de MONTEREAU-FAULT-YONNE;2;Rue Jules Ferry;Montereau-Fault-Yonne;77130;01 64 32 42 58;ad77.montereau@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Montereau-Fault-Yonne.;Aide alimentaire;false
23;Centre de NANGIS;15;Rue des Ecoles;Nangis;77370;01 64 00 32 50;ad77.nangis@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Nangis.;Aide alimentaire, emploi, microcrédit;false
24;Centre de NEMOURS;2;Rue Voltaire;Nemours;77140;01 64 28 66 81;ad77.nemours@restosducoeur.org;CLOSE;Centre des Restos du Cœur situé à Nemours.;Aide alimentaire, emploi, microcrédit, ateliers de français;false
